yearID,lgID,teamID,franchID,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,percentW,OBP,SLG,OPS,WHIP,name
2001,NL,SFN,SFG,162,81,90,72,799,5612,1493,914,304,40,235,625,1090,57,42,50,54,748,680,4.18,3,8,47,4390,1437,145,579,1080,118,170,0.98,0.556,0.342,0.460085531,0.802,1.493,San Francisco Giants
2001,NL,LAN,LAD,162,81,86,76,758,5493,1399,902,264,27,206,519,1062,89,42,56,44,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138,0.98,0.531,0.323,0.425086474,0.748,1.469,Los Angeles Dodgers
2001,NL,SDN,SDP,162,81,79,83,789,5482,1379,919,273,26,161,678,1273,129,44,41,48,812,724,4.52,5,6,46,4322,1519,219,476,1088,145,127,0.97,0.488,0.336,0.398941992,0.735,1.618,San Diego Padres
2001,NL,COL,COL,162,81,73,89,923,5690,1663,1065,324,61,213,511,1027,132,54,61,50,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167,0.98,0.451,0.354,0.482952548,0.837,1.698,Colorado Rockies
2002,AL,MIN,MIN,161,81,94,67,768,5582,1518,967,348,36,167,472,1089,79,62,56,52,712,662,4.12,8,9,47,4334,1454,184,439,1026,74,124,0.98,0.584,0.332,0.436940165,0.769,1.499,Minnesota Twins
2002,AL,CHA,CHW,162,81,81,81,856,5502,1475,940,289,29,217,555,952,75,31,49,53,798,716,4.53,7,7,35,4269,1422,190,528,945,97,157,0.98,0.5,0.338,0.449472919,0.787,1.56,Chicago White Sox
2002,AL,CLE,CLE,162,81,74,88,739,5423,1349,876,255,26,192,542,1000,52,37,56,39,837,777,4.91,9,4,34,4274,1508,142,603,1058,113,161,0.98,0.457,0.321,0.411580306,0.733,1.646,Cleveland Indians
2002,AL,KCA,KCR,162,77,62,100,737,5535,1415,948,285,42,140,524,921,140,65,52,51,891,834,5.21,12,6,30,4323,1587,212,572,909,130,153,0.97,0.383,0.323,0.398193315,0.721,1.72,Kansas City Royals
2002,AL,DET,DET,161,80,55,106,575,5406,1340,914,265,37,124,363,1035,65,44,64,57,864,774,4.93,11,7,33,4242,1593,163,463,794,142,148,0.97,0.342,0.301,0.379393267,0.680,1.738,Detroit Tigers
2002,AL,NYA,NYY,161,80,103,58,897,5601,1540,991,314,12,223,640,1171,100,38,72,41,697,625,3.87,9,11,53,4356,1441,144,403,1135,127,117,0.97,0.64,0.354,0.454740225,0.809,1.472,New York Yankees
2002,AL,BOS,BOS,162,81,93,69,859,5640,1560,1002,348,33,177,545,944,80,28,72,53,665,603,3.75,5,17,51,4338,1339,146,430,1157,104,140,0.98,0.574,0.345,0.444148936,0.789,1.386,Boston Red Sox
2002,AL,TOR,TOR,162,81,78,84,813,5581,1457,927,305,38,187,522,1142,71,18,53,57,828,767,4.8,6,6,41,4315,1504,177,590,991,107,159,0.98,0.481,0.327,0.429851281,0.757,1.621,Toronto Blue Jays
2002,AL,BAL,BAL,162,81,67,95,667,5491,1353,850,311,27,165,452,993,110,48,64,49,773,719,4.46,8,3,31,4352,1491,208,549,967,91,173,0.98,0.414,0.309,0.403023129,0.712,1.561,Baltimore Orioles
2002,AL,TBA,TBD,161,81,55,106,673,5604,1418,953,297,35,133,456,1115,102,45,58,36,918,846,5.29,12,3,25,4321,1567,215,620,925,126,168,0.97,0.342,0.314,0.389721627,0.704,1.725,Tampa Bay Devil Rays
2002,AL,OAK,OAK,162,81,103,59,800,5558,1450,938,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.98,0.636,0.338,0.431810004,0.770,1.408,Oakland Athletics
2002,AL,ANA,ANA,162,81,99,63,851,5678,1603,1086,333,32,152,462,805,117,51,74,64,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151,0.98,0.611,0.34,0.432546671,0.773,1.37,Anaheim Angels
2002,AL,SEA,SEA,162,81,93,69,814,5569,1531,1063,285,31,152,629,1003,137,58,51,72,699,654,4.07,8,12,43,4336,1422,178,441,1063,88,134,0.98,0.574,0.351,0.419105764,0.770,1.467,Seattle Mariners
2002,AL,TEX,TEX,162,80,72,90,843,5618,1510,949,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.98,0.444,0.338,0.455322179,0.793,1.674,Texas Rangers
2002,NL,SLN,STL,162,81,97,65,787,5505,1475,989,285,26,175,542,927,86,42,67,49,648,595,3.7,4,9,42,4339,1355,141,547,1009,103,168,0.98,0.599,0.339,0.424523161,0.764,1.385,St. Louis Cardinals
2002,NL,HOU,HOU,162,81,84,78,749,5503,1441,951,291,32,167,589,1120,71,27,59,37,695,643,4,2,11,43,4335,1423,151,546,1219,83,149,0.98,0.519,0.337,0.417408686,0.754,1.466,Houston Astros
2002,NL,CIN,CIN,162,80,78,84,709,5470,1386,899,297,21,169,583,1188,116,52,66,40,774,690,4.27,2,8,42,4361,1502,173,550,980,120,169,0.98,0.481,0.33,0.408043876,0.738,1.566,Cincinnati Reds
2002,NL,PIT,PIT,161,79,72,89,641,5330,1300,875,263,20,142,537,1109,86,49,73,41,730,664,4.23,2,7,47,4238,1447,163,572,920,115,177,0.98,0.447,0.319,0.380675422,0.700,1.541,Pittsburgh Pirates
2002,NL,CHN,CHC,162,78,67,95,706,5496,1351,863,259,29,200,585,1269,63,21,44,39,759,687,4.29,11,9,23,4324,1373,167,606,1333,114,144,0.98,0.414,0.321,0.412663755,0.734,1.479,Chicago Cubs
2002,NL,MIL,MIL,162,81,56,106,627,5415,1369,932,269,29,139,500,1125,94,50,55,34,821,752,4.73,7,4,32,4297,1468,199,666,1026,103,154,0.98,0.346,0.32,0.390212373,0.710,1.598,Milwaukee Brewers
2002,NL,ATL,ATL,161,81,101,59,708,5495,1428,959,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.98,0.627,0.332,0.409463148,0.741,1.272,Atlanta Braves
2002,NL,MON,WSN,162,81,83,79,735,5479,1432,934,300,36,162,575,1104,118,64,46,42,718,641,3.97,9,3,39,4359,1475,165,508,1088,139,160,0.97,0.512,0.334,0.417959482,0.752,1.509,Montreal Expos
2002,NL,PHI,PHI,161,79,80,81,710,5523,1428,897,325,41,165,640,1095,104,43,53,39,724,671,4.17,5,9,47,4349,1381,153,570,1075,88,156,0.98,0.497,0.339,0.421872171,0.761,1.452,Philadelphia Phillies
2002,NL,FLO,FLA,162,81,79,83,699,5496,1433,975,280,32,146,595,1130,177,73,61,49,763,706,4.36,11,12,36,4369,1449,151,631,1104,106,163,0.98,0.488,0.338,0.403020378,0.741,1.519,Florida Marlins
2002,NL,NYN,NYM,161,78,75,86,690,5496,1409,989,238,22,160,486,1044,87,42,63,30,703,624,3.89,9,10,36,4328,1408,163,543,1107,144,138,0.97,0.466,0.321,0.395014556,0.716,1.463,New York Mets
2002,NL,ARI,ARI,162,81,98,64,819,5508,1471,982,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.98,0.605,0.346,0.423202614,0.769,1.407,Arizona Diamondbacks
2002,NL,SFN,SFG,162,81,95,66,783,5497,1465,932,300,35,198,616,961,74,21,65,52,616,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.98,0.586,0.345,0.441877388,0.787,1.367,San Francisco Giants
2002,NL,LAN,LAD,162,81,92,70,713,5554,1464,994,286,29,155,428,940,96,37,53,44,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.98,0.568,0.32,0.409254591,0.729,1.34,Los Angeles Dodgers
